time_1,time_2,time_3,time_4,temp_1,temp_2,temp_3,temp_4,Cold Object
2000.0,12.0,24.0,36.0,35.44,35.58,35.72,36.03,FruitJuice
2160.0,12.0,24.0,36.0,34.425,34.52,34.705,34.94,ICECREAM
580.0,15.0,30.0,45.0,35.0,35.08,35.57,35.76,CoolDrink
3330.0,17.0,34.0,51.0,52.97,53.02,53.12,53.86,FruitJuice
1170.0,6.0,12.0,18.0,23.815,23.93,23.93,23.95,ICECREAM
890.0,13.0,26.0,39.0,40.73,40.88,41.15,41.23,CoolDrink
730.0,10.0,20.0,30.0,68.78,69.07,69.4,69.57,Copper
150.0,14.0,28.0,42.0,4.8,5.66,5.72,5.96,Apple
1350.0,13.0,26.0,39.0,49.34,49.39,49.67,49.73,CoolDrink
1710.0,16.0,32.0,48.0,29.335,29.515,29.895,30.095,ICECREAM
1150.0,18.0,36.0,54.0,29.98,30.19,31.38,31.59,FruitJuice
2180.0,17.0,34.0,51.0,47.0,47.21,47.31,47.52,CoolDrink
1210.0,8.0,16.0,24.0,27.29,27.38,27.46,27.46,FruitJuice
1700.0,15.0,30.0,45.0,80.58,81.0,81.08,81.12,Aluminium
1100.0,14.0,28.0,42.0,54.98,55.08,55.2,55.39,Meat
80.0,12.0,24.0,36.0,25.49,25.5,25.53,25.75,CoolDrink
2290.0,6.0,12.0,18.0,64.8,64.9,64.9,65.5,Water
830.0,20.0,40.0,60.0,25.48,25.91,26.11,26.6,FruitJuice
2970.0,6.0,12.0,18.0,89.27,89.31,89.31,89.75,Iron
2070.0,5.0,10.0,15.0,63.84,63.91,63.91,63.98,CoolDrink
2010.0,7.0,14.0,21.0,45.7,45.5,45.5,45.7,Water
1340.0,7.0,14.0,21.0,38.32,38.43,38.43,38.53,CoolDrink
1050.0,16.0,32.0,48.0,71.96,72.04,72.08,72.19,Copper
660.0,13.0,26.0,39.0,75.49,75.7,75.79,76.09,Medicine
470.0,19.0,38.0,57.0,18.48,20.01,20.91,22.15,Apple
1000.0,10.0,20.0,30.0,49.55,49.7,49.85,50.29,ICECREAM
430.0,9.0,18.0,27.0,17.87,18.1,18.4,18.47,Apple
330.0,19.0,38.0,57.0,17.87,19.27,19.9,20.14,FruitJuice
780.0,8.0,16.0,24.0,31.37,31.87,32.14,32.14,Apple
50.0,9.0,18.0,27.0,25.17,25.2,25.34,25.49,CoolDrink
1850.0,9.0,18.0,27.0,79.87,80.05,80.06,80.26,Copper
2120.0,19.0,38.0,57.0,79.31,79.57,79.84,80.23,Iron
950.0,15.0,30.0,45.0,23.65,23.7,24.18,24.28,FruitJuice
510.0,13.0,26.0,39.0,68.95,68.97,69.18,69.42,Aluminium
730.0,13.0,26.0,39.0,39.42,39.57,40.45,40.56,ICECREAM
2630.0,16.0,32.0,48.0,59.01,59.37,59.53,59.82,FruitJuice
1500.0,18.0,36.0,54.0,44.8,45.3,44.4,44.8,Water
2130.0,7.0,14.0,21.0,64.78,65.05,65.05,65.32,CoolDrink
310.0,18.0,36.0,54.0,65.4,65.46,65.77,65.83,Medicine
4410.0,6.0,12.0,18.0,66.51,66.61,66.61,66.67,FruitJuice
50.0,6.0,12.0,18.0,53.19,53.63,53.63,54.31,Medicine
2120.0,11.0,22.0,33.0,37.56,37.58,37.6,37.68,FruitJuice
2030.0,5.0,10.0,15.0,81.56,81.62,81.62,81.63,Copper
860.0,14.0,28.0,42.0,43.6,43.5,44.2,44.1,Water
360.0,18.0,36.0,54.0,65.83,66.97,67.49,67.5,Medicine
2280.0,14.0,28.0,42.0,84.8,84.82,84.88,84.94,Copper
440.0,19.0,38.0,57.0,64.85,65.02,65.1,65.25,Copper
1550.0,16.0,32.0,48.0,66.61,66.65,66.97,67.98,ICECREAM
130.0,18.0,36.0,54.0,58.35,59.47,60.6,61.0,Medicine
2810.0,8.0,16.0,24.0,45.44,45.47,46.25,46.25,FruitJuice
1870.0,8.0,16.0,24.0,82.33,82.37,82.53,82.53,Aluminium
2140.0,6.0,12.0,18.0,46.59,46.69,46.69,46.8,CoolDrink
450.0,20.0,40.0,60.0,32.31,32.55,32.68,33.18,CoolDrink
2270.0,14.0,28.0,42.0,35.695,35.745,36.095,36.34,ICECREAM
2760.0,18.0,36.0,54.0,89.23,89.43,89.44,89.53,Copper
2780.0,11.0,22.0,33.0,91.44,91.64,91.65,91.68,Aluminium
2000.0,15.0,30.0,45.0,61.8,61.2,61.9,61.4,Water
1550.0,8.0,16.0,24.0,30.44,30.58,30.79,30.79,FruitJuice
